name,year,county,time,pop,seed,sheep,lynx,lynx1,wolf,wolf1,popst,red,north,east,north2,east2
Norrb,29,1,2,0.4,173,362,0.019,0,0.047,0.047,"43,887",3.1,1439,513,20707,2632
Vasterb,29,2,2,0.8,308,722,0.169,0.135,0.725,0.776,"49,994",12.4,1179,415,13900,1722
Jamt,29,3,2,0.8,262,1154,0.074,0.148,0.24,0.166,"42,225",2.5,976,222,9526,493
Vastern,29,4,2,3.4,1184,2676,0.173,0.389,0.389,0.822,"78,421",17.7,962,387,9254,1498
Gavle,29,5,2,5.2,1439,4299,0,1.569,0.911,0.911,"102,736",12.4,756,336,5715,1129
Koppar,29,6,2,4.4,2156,3980,0.625,0.625,0.724,0.756,"134,820",4.7,696,221,4844,488
Varm,29,7,2,8.9,4604,3728,2.166,1.393,2.166,1.651,"172,858",29.6,564,140,3181,196
Upps,29,8,2,11.3,7687,8393,1.943,0.971,3.47,3.053,"81,742",10.1,588,422,3457,1781
Vastml,29,9,2,13.5,6384,5317,1.663,1.512,4.082,6.35,"89,262",27.2,557,337,3102,1136
Stock,29,10,2,27.2,8152,10250,0.295,0.442,2.651,1.62,"184,711",10.9,519,453,2694,2052
Orebro,29,11,2,12.4,4633,5212,1.605,1.177,0.749,2.462,"116,255",24.8,499,254,2490,645
Soderml,29,12,2,16.4,5799,8602,1.968,0.303,3.633,2.27,"108,327",11.8,463,361,2144,1303
Alvsb,29,14,2,16,9372,7321,0.081,0.161,2.422,0.888,"197,697",28.8,352,101,1239,102
Goteborg,29,15,2,29,12612,10358,0.752,0.188,2.631,0.752,"154,054",52.1,381,44,1452,19
Ostergl,29,16,2,16.1,6942,5768,2.147,1.717,3.435,3.95,"187,609",57.6,375,302,1406,912
Kalmar,29,17,2,14.2,6410,7703,0.171,0.257,1.796,1.967,"165,743",64.4,237,323,562,1043
Jonk,29,18,2,12.8,7525,8702,2.242,1.775,1.681,3.269,"137,478",74.8,269,217,724,471
Halland,29,19,2,15.6,11694,8285,0,0,0,0,"88,975",50.9,208,107,433,114
Kronob,29,20,2,11.5,5101,8334,2.121,1.379,2.651,2.333,"108,741",47.6,184,224,339,502
Kristian,29,21,2,23.8,12504,11129,0,0,1.425,0.158,"150,372",56,103,170,106,289
Blek,29,22,2,28.1,9979,10983,1.309,0,1.636,0,"85,734",133.5,120,263,144,692
Malmo,29,23,2,39.6,25891,11866,0,0,0,0,"200,103",26.5,58,136,34,185
Norrb,30,1,3,0.4,173,362,0,0.019,0.16,0.047,"43,887",2.6,1439,513,20707,2632
Vasterb,30,2,3,0.8,308,722,0.337,0.169,1.096,0.725,"49,994",13.5,1179,415,13900,1722
Jamt,30,3,3,0.8,262,1154,0.055,0.074,0.37,0.24,"42,225",0.8,976,222,9526,493
Vastern,30,4,3,3.4,1184,2676,0.216,0.173,0.26,0.389,"78,421",6.4,962,387,9254,1498
Gavle,30,5,3,5.2,1439,4299,1.62,0,1.265,0.911,"102,736",14.4,756,336,5715,1129
Koppar,30,6,3,4.4,2156,3980,0.263,0.625,0.395,0.724,"134,820",5.6,696,221,4844,488
Varm,30,7,3,8.9,4604,3728,1.908,2.166,2.166,2.166,"172,858",30.6,564,140,3181,196
Upps,30,8,3,11.3,7687,8393,0.971,1.943,2.637,3.47,"81,742",15.4,588,422,3457,1781
Vastml,30,9,3,13.5,6384,5317,2.57,1.663,4.385,4.082,"89,262",26.2,557,337,3102,1136
Orebro,30,11,3,12.4,4633,5212,2.462,1.605,1.712,0.749,"116,255",28.5,499,254,2490,645
Soderml,30,12,3,16.4,5799,8602,1.211,1.968,2.27,3.633,"108,327",17.6,463,361,2144,1303
Alvsb,30,14,3,16,9372,7321,0.242,0.081,1.292,2.422,"197,697",28.4,352,101,1239,102
Goteborg,30,15,3,29,12612,10358,0,0.752,0.376,2.631,"154,054",5.1,381,44,1452,19
Ostergl,30,16,3,16.1,6942,5768,1.631,2.147,3.95,3.435,"187,609",52.3,375,302,1406,912
